archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include,archive_id
371,NA,Swedish Armour and Weaponry,Swedish Section,Palais,Military,Tekniska museet,Approximate,-22.98689278,83.6819482,,TRUE,371
372,NA,View of the Chateau d'Eau,French Park,Parc,Architecture Pottery,Tekniska museet,Confident,265.1085892,-131.8525582,372 410 359,TRUE,372
378,8001,Exhibition Inauguration,Central Garden (Inauguration Ceremony),Central Garden,People Architecture,Patrick Montgomery,Confident,16.700302,0.139513739,,TRUE,378
379,8075,Italian Sculptures,Papal States (Rome) Fine Arts Section,Palais,Sculpture,Patrick Montgomery,Confident,24.9754867,41.59260389,Alt View 1044 1123 9 379 211 1042 123 inconsistent,TRUE,379
403,8015,English decorative arts,Great Britain and Ireland,Palais,Decorative Arts,Kakou Collection,approximate,148.1328726,76.3664415,,TRUE,403
404,8016,Lighthouse Lamp,French Section,Palais,Machines,Kakou Collection,Confident,40.06898264,-152.2201751,,TRUE,404
405,8018,French Algerian colony objects,Algerian Section,Palais,Colonial Animals,Kakou Collection,somewhat confident,-150.1293665,-60.01294125,,TRUE,405
407,8030,Austrian Decorative Arts,Austrian Section,Palais,Decorative Arts,Kakou Collection,approximate,-118.0104365,106.4024102,,TRUE,407
410,8039,Chateu d'Eau Section View of the Lighthouse,French Park,Parc,Architecture,Kakou Collection,Confident,182.995716,-138.6946796,372 410 359,TRUE,410
411,8048,Freshwater Aquarium Cave,Horticultural Gardens,Parc,Architecture Nature,Kakou Collection,Confident,-297.8885253,-174.1649732,Aquarium,TRUE,411
413,8062,English Machinery,Great Britain and Ireland,Palais,Industry,Kakou Collection,Confident,210.0362303,23.40198252,alt view 413 1043,TRUE,413
415,8077,Baccarat Crystals,French Section,Palais,Crystal,Kakou Collection,Confident,13.70200703,-80.5616183,,TRUE,415
416,8080,Austrian Crystal,Austrian Section,Palais,Crystal,Kakou Collection,approximate,-91.92040671,84.44640379,Alt view of 416 1035?,TRUE,416
417,8105,Construction Work in the Botanical Garden,Horticultural Gardens,Parc,Architecture People,Kakou Collection,Confident,-406.2421499,-156.8953317,,TRUE,417
418,8018,Two People under a Tree,Horticultural Gardens,Parc,People Architecture,Kakou Collection,Confident,-379.1659905,-205.1478232,,TRUE,418
420,8112,Imperial Pavillion,French Park,Parc,Architecture People,Kakou Collection,Confident,281.8587642,3.979767495,,TRUE,420
421,8119,View from the freshwater aquarium,Horticultural Gardens,Parc,Architecture,Kakou Collection,Confident,-284.6150914,-174.7410395,,TRUE,421
422,8121,Aerial view of the Egyptian Park,Egyptian Park,Parc,Architecture,Kakou Collection,Confident,200.1245236,125.6239372,,TRUE,422
424,8127,Russian Industry,Russian Park,Palais,Architecture Industry,Kakou Collection,Confident,4.761461404,167.1455044,6 424 21,TRUE,424
425,8138,Industrial Gallery Swedish Section,Swedish Section,Palais,Industry Architecture,Kakou Collection,Confident,-33.51260544,169.2925476,256 425,TRUE,425
