archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include
312,647,Temple of Edfu,Egyptian Park,Parc,Architecture,Brian May,remove,233.641965,142.7240037,Duplicate of 1115 remove,False
11,288,The Mosque,Ottoman Park,Parc,Architecture,Brian May,remove,231.8488995,120.6866504,dupe of 11 alt view of 13,False
25,,Emperors Pavillion Front View,French Park,Parc,Architecture,Roger Viollet,Confident,286.3949414,-10.11689543,alt view of 20 48 314,True
324,553,Italian Earthenware Pavillion,Italian Park,Parc,Architecture,Archives Nationales de France,confident,65.66588241,208.3431575,,True
327,184,The Creek Bridge With a View of the Dutch Farmhouse,Dutch Park (Horticultural Garden),Parc,Architecture,Brian May,Confident,-282.2444925,-219.7554835, ,True
329,210,Empress Pavillion,Horticultural Gardens,Parc,Architecture,Brian May,Confident,-437.2472079,-166.7595628,,True
333,378,The Mexican Temple,Mexican Park,Parc,Architecture,Archives Nationales de France,Confident,412.4051427,66.39079675,,True
25,,Diamond Cutting of the Netherlands,Dutch Park (Horticultural Garden),Parc,Architecture,Archives Nationales de France,Confident,-276.1806612,-128.7256049,,True
25,,American Farmer's Home,American Park,Parc ,Architecture,Francois Brunet,Confident,272.3576557,79.51038337,,True
346,451,Romanian Church,Romanian Park,Parc,Architecture,Brian May,Confident,388.654962,129.1594496,,True
25,,Northern Yurt,Russian Park,Parc,Architecture,Gary Van Zante,Confident,-95.31838991,212.7277128,,True
25,,The Great Greenhouse,Horticultural Gardens,Parc,Landscape,Brian May,Confident,-379.3076385,-188.2560166,,True
25,,Inside the Pavilion of the Bey of Tunisia,Tunisian Park,Parc,Architecture (Interior),Archives Nationales de France,Confident,430.4098501,199.0673933,,True
350,45,Bey Palace,Tunisian Park,Parc,Architecture,Brian May,Confident,399.0346,202.0685042,,True
351,213,Bey Palace Exterior,Tunisian Park,Parc,Architecture,Brian May,Confident,387.1665706,174.785678,,True
25,,Pottery and Enamels,French Park,Parc,Architecture Parc,Roger Viollet,Confident,267.6466242,-94.48272886,372 410 359,True
25,,Virebent Freres & Fils,French Park,Parc,Architecture Parc,Roger Viollet,somewhat confident,301.735121,-117.4744204,,True
365,8020,Swedish Section,Swedish Section,Palais,Furniture Sculpture Porcelain,Tekniska museet,approximate,-20.04545412,96.59677567,,True
25,,Thorvaldesen Leaning on the Statue of Hope,Danish Fine Arts Section,Palais,Sculpture,Tekniska museet,approximate,-32.42470973,43.74443196,,True
25,,Young Cupid,Papal States (Rome) Fine Arts Section,Palais,Sculpture,Tekniska museet,somewhat confident,27.753268,44.66462054,sculpture close up as seen in 211,False
25,,Last Days of Napoleon by Vincenzo Vela,French Fine Arts Section,Palais,Sculpture,Tekniska museet,Confident,4.938009377,35.77420005,      ,True
25,,View of Lighthouse and Photosculpture Building,Exposition Grounds,Parc,Architecture Lighthouse Photosculpture,Tekniska museet,Confident,360.5773222,8.762582496,,True
25,,Aquarium Interior,Horticultural Gardens,Parc,Aquarium,Tekniska museet,Confident,-299.0989075,-177.0776202,,True
25,,Swedish Armour and Weaponry,Swedish Section,Palais,Military,Tekniska museet,Approximate,-22.98689278,83.6819482,,True
25,,View of the Chateau d'Eau,French Park,Parc,Architecture Pottery,Tekniska museet,Confident,265.1085892,-131.8525582,372 410 359,True
378,8001,Exhibition Inauguration,Central Garden (Inauguration Ceremony),Central Garden,People Architecture,Patrick Montgomery,Confident,16.700302,0.139513739,,True
379,8075,Italian Sculptures,Papal States (Rome) Fine Arts Section,Palais,Sculpture,Patrick Montgomery,Confident,24.9754867,41.59260389,Alt View 1044 1123 9 379 211 1042 123 inconsistent,True
403,8015,English decorative arts,Great Britain and Ireland,Palais,Decorative Arts,Kakou Collection,approximate,148.1328726,76.3664415,,True
404,8016,Lighthouse Lamp,French Section,Palais,Machines,Kakou Collection,Confident,40.06898264,-152.2201751,,True
405,8018,French Algerian colony objects,Algerian Section,Palais,Colonial Animals,Kakou Collection,somewhat confident,-150.1293665,-60.01294125,,True
407,8030,Austrian Decorative Arts,Austrian Section,Palais,Decorative Arts,Kakou Collection,approximate,-118.0104365,106.4024102,,True
410,8039,Chateu d'Eau Section View of the Lighthouse,French Park,Parc,Architecture,Kakou Collection,Confident,182.995716,-138.6946796,372 410 359,True
411,8048,Freshwater Aquarium Cave,Horticultural Gardens,Parc,Architecture Nature,Kakou Collection,Confident,-297.8885253,-174.1649732,Aquarium,True
412,8062,English Machinery,Great Britain and Ireland,Palais,Industry,Kakou Collection,Confident,210.0362303,23.40198252,alt view 413 1043,True
415,8077,Baccarat Crystals,French Section,Palais,Crystal,Kakou Collection,Confident,13.70200703,-80.5616183,,True
416,8080,Austrian Crystal,Austrian Section,Palais,Crystal,Kakou Collection,approximate,-91.92040671,84.44640379,Alt view of 416 1035?,True
417,8105,Construction Work in the Botanical Garden,Horticultural Gardens,Parc,Architecture People,Kakou Collection,Confident,-406.2421499,-156.8953317,,True
405,8018,Two People under a Tree,Horticultural Gardens,Parc,People Architecture,Kakou Collection,Confident,-379.1659905,-205.1478232,,True
419,8112,Imperial Pavillion,French Park,Parc,Architecture People,Kakou Collection,Confident,281.8587642,3.979767495,,True
421,8119,View from the freshwater aquarium,Horticultural Gardens,Parc,Architecture,Kakou Collection,Confident,-284.6150914,-174.7410395,,True
422,8121,Aerial view of the Egyptian Park,Egyptian Park,Parc,Architecture,Kakou Collection,Confident,200.1245236,125.6239372,,True
423,8127,Russian Industry,Russian Park,Palais,Architecture Industry,Kakou Collection,Confident,4.761461404,167.1455044,6 424 21,True
425,8138,Industrial Gallery Swedish Section,Swedish Section,Palais,Industry Architecture,Kakou Collection,Confident,-33.51260544,169.2925476,256 425,True
426,8150,View of Seine from the Lighthouse,Exposition Grounds,Parc,Architecture Expo,Kakou Collection,Confident,452.1809418,-99.05308496,Duplicate of 266 keep,True
427,8153,View of Great Greenhouse,Horticultural Gardens,Parc,Architecture People,Kakou Collection,Confident,-405.9675905,-213.3679246,,True
428,8182,View from the Expo Entrance,Exposition Grounds,Parc,Architecture,Kakou Collection,Confident,-464.6528488,8.725890073,,True
429,8184,Pavillion of the Empress,Horticultural Gardens,Parc,Architecture,Kakou Collection,Confident,-400.64763,-121.2084559,Alt view of 329,True
430,8203,Prussian Pavillion,Prussian Park,Parc ,People Architecture,Kakou Collection,remove,-258.5796128,64.34195671,duplicate of 1118 remove this,False
431,8213,Arch with view of American Automobiles,Australian Section (British Colonies),Palais,Architecture Industry,Kakou Collection,Confident,94.72208189,140.4877747,,True
432,8219,French Machinery,French Section,Palais,Industry Architecture,Kakou Collection,Confident,3.598420888,-168.9274649,,True
25,,French Industrial Machines,French Section,Palais,Machines,Kakou Collection,Confident,170.4660975,-91.56980829,,True
25,,Palais Construction,Rare View,Palais,Architecture,Kakou Collection,Fabricated,-207.3541459,-17.94049742,,True
25,,Stereoscope,French Section,Palais,Commercial Photography,Kakou Collection,remove,,,duplicate of 1112 remove,False
